1N: Adjacent normal part of adenocarcinoma,GSM185811,1N,Adjacent normal part of adenocarcinoma,sex: female
2N: Adjacent normal part of adenocarcinoma,GSM185813,2N,Adjacent normal part of adenocarcinoma,sex: female
3N: Adjacent normal part of adenocarcinoma,GSM185815,3N,Adjacent normal part of adenocarcinoma,sex: female
4N: Adjacent normal part of adenocarcinoma,GSM185817,4N,Adjacent normal part of adenocarcinoma,sex: female
5N: Adjacent normal part of adenocarcinoma,GSM185819,5N,Adjacent normal part of adenocarcinoma,sex: female
6N: Adjacent normal part of adenocarcinoma,GSM185821,6N,Adjacent normal part of adenocarcinoma,sex: female
7N: Adjacent normal part of adenocarcinoma,GSM185823,7N,Adjacent normal part of adenocarcinoma,sex: female
8N: Adjacent normal part of adenocarcinoma,GSM185825,8N,Adjacent normal part of adenocarcinoma,sex: female
12N: Adjacent normal part of adenocarcinoma,GSM185827,12N,Adjacent normal part of adenocarcinoma,sex: female
18N: Adjacent normal part of adenocarcinoma,GSM185837,18N,Adjacent normal part of adenocarcinoma,sex: female
20N: Adjacent normal part of adenocarcinoma,GSM185841,20N,Adjacent normal part of adenocarcinoma,sex: female
21N: Adjacent normal part of adenocarcinoma,GSM185843,21N,Adjacent normal part of adenocarcinoma,sex: female
22N: Adjacent normal part of adenocarcinoma,GSM185845,22N,Adjacent normal part of adenocarcinoma,sex: female
23N: Adjacent normal part of adenocarcinoma,GSM185847,23N,Adjacent normal part of adenocarcinoma,sex: female
24N: Adjacent normal part of adenocarcinoma,GSM185849,24N,Adjacent normal part of adenocarcinoma,sex: female
25N: Adjacent normal part of adenocarcinoma,GSM185851,25N,Adjacent normal part of adenocarcinoma,sex: female
26N: Adjacent normal part of adenocarcinoma,GSM185853,26N,Adjacent normal part of adenocarcinoma,sex: female
27N: Adjacent normal part of adenocarcinoma,GSM185855,27N,Adjacent normal part of adenocarcinoma,sex: female
30N: Adjacent normal part of adenocarcinoma,GSM185859,30N,Adjacent normal part of adenocarcinoma,sex: female
54N: Adjacent normal part of adenocarcinoma,GSM185861,54N,Adjacent normal part of adenocarcinoma,sex: female
57N: Adjacent normal part of adenocarcinoma,GSM185863,57N,Adjacent normal part of adenocarcinoma,sex: female
1T: Tumor part of adenocarcinoma,GSM185812,1T,Tumor part of adenocarcinoma,sex: female
2T: Tumor part of adenocarcinoma,GSM185814,2T,Tumor part of adenocarcinoma,sex: female
3T: Tumor part of adenocarcinoma,GSM185816,3T,Tumor part of adenocarcinoma,sex: female
4T: Tumor part of adenocarcinoma,GSM185818,4T,Tumor part of adenocarcinoma,sex: female
5T: Tumor part of adenocarcinoma,GSM185820,5T,Tumor part of adenocarcinoma,sex: female
6T: Tumor part of adenocarcinoma,GSM185822,6T,Tumor part of adenocarcinoma,sex: female
7T: Tumor part of adenocarcinoma,GSM185824,7T,Tumor part of adenocarcinoma,sex: female
8T: Tumor part of adenocarcinoma,GSM185826,8T,Tumor part of adenocarcinoma,sex: female
12T: Tumor part of adenocarcinoma,GSM185828,12T,Tumor part of adenocarcinoma,sex: female
18T: Tumor part of adenocarcinoma,GSM185838,18T,Tumor part of adenocarcinoma,sex: female
20T: Tumor part of adenocarcinoma,GSM185842,20T,Tumor part of adenocarcinoma,sex: female
21T: Tumor part of adenocarcinoma,GSM185844,21T,Tumor part of adenocarcinoma,sex: female
22T: Tumor part of adenocarcinoma,GSM185846,22T,Tumor part of adenocarcinoma,sex: female
23T: Tumor part of adenocarcinoma,GSM185848,23T,Tumor part of adenocarcinoma,sex: female
24T: Tumor part of adenocarcinoma,GSM185850,24T,Tumor part of adenocarcinoma,sex: female
25T: Tumor part of adenocarcinoma,GSM185852,25T,Tumor part of adenocarcinoma,sex: female
26T: Tumor part of adenocarcinoma,GSM185854,26T,Tumor part of adenocarcinoma,sex: female
27T: Tumor part of adenocarcinoma,GSM185856,27T,Tumor part of adenocarcinoma,sex: female
30T: Tumor part of adenocarcinoma,GSM185860,30T,Tumor part of adenocarcinoma,sex: female
54T: Tumor part of adenocarcinoma,GSM185862,54T,Tumor part of adenocarcinoma,sex: female
57T: Tumor part of adenocarcinoma,GSM185864,57T,Tumor part of adenocarcinoma,sex: female
