2272,FHIT,fragile,histidine,triad,[KO:K01522],[EC:3.6.1.29],,,
5915,RARB,retinoic,acid,receptor,beta,[KO:K08528],,,
6256,RXRA,retinoid,X,receptor,alpha,[KO:K08524],,,
6257,RXRB,retinoid,X,receptor,beta,[KO:K08525],,,
6258,RXRG,retinoid,X,receptor,gamma,[KO:K08526],,,
1029,CDKN2A,cyclin,dependent,kinase,inhibitor,2A,[KO:K06621],,
1019,CDK4,cyclin,dependent,kinase,4,[KO:K02089],[EC:2.7.11.22],,
1021,CDK6,cyclin,dependent,kinase,6,[KO:K02091],[EC:2.7.11.22],,
595,CCND1,cyclin,D1,[KO:K04503],,,,,
5925,RB1,RB,transcriptional,corepressor,1,[KO:K06618],,,
1869,E2F1,E2F,transcription,factor,1,[KO:K17454],,,
1870,E2F2,E2F,transcription,factor,2,[KO:K09389],,,
1871,E2F3,E2F,transcription,factor,3,[KO:K06620],,,
3845,KRAS,KRAS,"proto-oncogene,",GTPase,[KO:K07827],,,,
11186,RASSF1,Ras,association,domain,family,member,1,[KO:K09850],
83593,RASSF5,Ras,association,domain,family,member,5,[KO:K08015],
6789,STK4,serine/threonine,kinase,4,[KO:K04411],,,,
5290,PIK3CA,"phosphatidylinositol-4,5-bisphosphate",3-kinase,catalytic,subunit,alpha,[KO:K00922],[EC:2.7.1.153],
5293,PIK3CD,"phosphatidylinositol-4,5-bisphosphate",3-kinase,catalytic,subunit,delta,[KO:K00922],[EC:2.7.1.153],
5291,PIK3CB,"phosphatidylinositol-4,5-bisphosphate",3-kinase,catalytic,subunit,beta,[KO:K00922],[EC:2.7.1.153],
5295,PIK3R1,phosphoinositide-3-kinase,regulatory,subunit,1,[KO:K02649],,,
5296,PIK3R2,phosphoinositide-3-kinase,regulatory,subunit,2,[KO:K02649],,,
8503,PIK3R3,phosphoinositide-3-kinase,regulatory,subunit,3,[KO:K02649],,,
5170,PDPK1,3-phosphoinositide,dependent,protein,kinase,1,[KO:K06276],[EC:2.7.11.1],
207,AKT1,AKT,serine/threonine,kinase,1,[KO:K04456],[EC:2.7.11.1],,
208,AKT2,AKT,serine/threonine,kinase,2,[KO:K04456],[EC:2.7.11.1],,
10000,AKT3,AKT,serine/threonine,kinase,3,[KO:K04456],[EC:2.7.11.1],,
572,BAD,BCL2,associated,agonist,of,cell,death,[KO:K02158],
842,CASP9,caspase,9,[KO:K04399],[EC:3.4.22.62],,,,
2309,FOXO3,forkhead,box,O3,[KO:K09408],,,,
1950,EGF,epidermal,growth,factor,[KO:K04357],,,,
7039,TGFA,transforming,growth,factor,alpha,[KO:K08774],,,
1956,EGFR,epidermal,growth,factor,receptor,[KO:K04361],[EC:2.7.10.1],,
2064,ERBB2,erb-b2,receptor,tyrosine,kinase,2,[KO:K05083],[EC:2.7.10.1],
2885,GRB2,growth,factor,receptor,bound,protein,2,[KO:K04364],
6654,SOS1,SOS,Ras/Rac,guanine,nucleotide,exchange,factor,1,[KO:K03099]
6655,SOS2,SOS,Ras/Rho,guanine,nucleotide,exchange,factor,2,[KO:K03099]
3265,HRAS,HRas,"proto-oncogene,",GTPase,[KO:K02833],,,,
4893,NRAS,NRAS,"proto-oncogene,",GTPase,[KO:K07828],,,,
369,ARAF,A-Raf,"proto-oncogene,",serine/threonine,kinase,[KO:K08845],[EC:2.7.11.1],,
673,BRAF,B-Raf,"proto-oncogene,",serine/threonine,kinase,[KO:K04365],[EC:2.7.11.1],,
5894,RAF1,Raf-1,"proto-oncogene,",serine/threonine,kinase,[KO:K04366],[EC:2.7.11.1],,
5604,MAP2K1,mitogen-activated,protein,kinase,kinase,1,[KO:K04368],[EC:2.7.12.2],
5605,MAP2K2,mitogen-activated,protein,kinase,kinase,2,[KO:K04369],[EC:2.7.12.2],
5594,MAPK1,mitogen-activated,protein,kinase,1,[KO:K04371],[EC:2.7.11.24],,
5595,MAPK3,mitogen-activated,protein,kinase,3,[KO:K04371],[EC:2.7.11.24],,
5335,PLCG1,phospholipase,C,gamma,1,[KO:K01116],[EC:3.1.4.11],,
5336,PLCG2,phospholipase,C,gamma,2,[KO:K05859],[EC:3.1.4.11],,
5578,PRKCA,protein,kinase,C,alpha,[KO:K02677],[EC:2.7.11.13],,
5579,PRKCB,protein,kinase,C,beta,[KO:K19662],[EC:2.7.11.13],,
5582,PRKCG,protein,kinase,C,gamma,[KO:K19663],[EC:2.7.11.13],,
7157,TP53,tumor,protein,p53,[KO:K04451],,,,
1026,CDKN1A,cyclin,dependent,kinase,inhibitor,1A,[KO:K06625],,
1647,GADD45A,growth,arrest,and,DNA,damage,inducible,alpha,[KO:K04402]
4616,GADD45B,growth,arrest,and,DNA,damage,inducible,beta,[KO:K04402]
10912,GADD45G,growth,arrest,and,DNA,damage,inducible,gamma,[KO:K04402]
581,BAX,BCL2,associated,"X,",apoptosis,regulator,[KO:K02159],,
578,BAK1,BCL2,antagonist/killer,1,[KO:K14021],,,,
1643,DDB2,damage,specific,DNA,binding,protein,2,[KO:K10140],
51426,POLK,DNA,polymerase,kappa,[KO:K03511],[EC:2.7.7.7],,,
27436,EML4,echinoderm,microtubule,associated,protein,like,4,[KO:K15420],
238,ALK,ALK,receptor,tyrosine,kinase,[KO:K05119],[EC:2.7.10.1],,
3718,JAK3,Janus,kinase,3,[KO:K11218],[EC:2.7.10.2],,,
6774,STAT3,signal,transducer,and,activator,of,transcription,3,[KO:K04692]
6776,STAT5A,signal,transducer,and,activator,of,transcription,5A,[KO:K11223]
6777,STAT5B,signal,transducer,and,activator,of,transcription,5B,[KO:K11224]
